AT2G38340	Carub.0004s2032
AT5G67250	Carub.0008s2726
AT5G67270	Carub.0008s2723
AT5G67265	Carub.0008s2724
AT5G67220	Carub.0008s2729
AT5G67240	Carub.0008s2727
AT5G67230	Carub.0008s2728
AT1G49600	Carub.0001s3880
AT1G24590	Carub.0001s2550
AT1G49620	Carub.0001s3882
AT1G24577	Carub.0001s2551
AT1G49630	Carub.0001s3883
AT1G24575	Carub.0001s2552
AT1G49640	Carub.0001s3884
AT1G24580	Carub.0001s2553
AT1G49650	Carub.0001s3885
AT1G24570	Carub.0001s2554
AT1G49660	Carub.0001s3886
AT1G24560	Carub.0001s2555
AT1G49670	Carub.0001s3887
AT1G24540	Carub.0001s2557
AT1G24530	Carub.0001s2558
AT1G24520	Carub.0001s2559
AT5G67385	Carub.0008s2710
AT5G67380	Carub.0008s2711
AT5G67350	Carub.0008s2714
AT5G67340	Carub.0008s2715
AT5G67370	Carub.0008s2712
AT5G67360	Carub.0008s2713
AT5G67330	Carub.0008s2716
AT5G67320	Carub.0008s2717
AT1G24510	Carub.0001s2560
AT1G49710	Carub.0001s3892
AT1G24490	Carub.0001s2561
AT1G49720	Carub.0001s3893
AT1G24485	Carub.0001s2562
AT1G49730	Carub.0001s3894
AT1G24480	Carub.0001s2563
AT1G49740	Carub.0001s3895
AT1G24470	Carub.0001s2564
AT1G24460	Carub.0001s2565
AT1G24450	Carub.0001s2566
AT1G49770	Carub.0001s3897
AT1G24440	Carub.0001s2567
AT1G49780	Carub.0001s3898
AT1G24420	Carub.0001s2568
AT1G49800	Carub.0001s3899
AT1G24405	Carub.0001s2569
AT5G67470	Carub.0008s2700
AT5G67440	Carub.0008s2703
AT5G67430	Carub.0008s2704
AT5G67460	Carub.0008s2701
AT5G67450	Carub.0008s2702
AT5G67410	Carub.0008s2707
AT5G67400	Carub.0008s2708
AT5G67420	Carub.0008s2705
AT5G67411	Carub.0008s2706
AT5G67390	Carub.0008s2709
AT1G24400	Carub.0001s2570
AT1G24360	Carub.0001s2571
AT1G24350	Carub.0001s2572
AT1G24330	Carub.0001s2574
AT1G24320	Carub.0001s2575
AT1G24310	Carub.0001s2576
AT1G24290	Carub.0001s2577
AT1G24280	Carub.0001s2578
AT1G24267	Carub.0001s2579
AT2G42620	Carub.0004s2507
AT2G42640	Carub.0004s2508
AT2G42600	Carub.0004s2505
AT2G42610	Carub.0004s2506
AT2G42580	Carub.0004s2503
AT2G42590	Carub.0004s2504
AT2G42560	Carub.0004s2501
AT2G42570	Carub.0004s2502
AT2G42550	Carub.0004s2500
AT1G24260	Carub.0001s2581
AT1G27290	Carub.0001s2582
AT1G27300	Carub.0001s2583
AT1G27310	Carub.0001s2584
AT1G27320	Carub.0001s2585
AT1G27340	Carub.0001s2587
AT1G27360	Carub.0001s2589
AT2G42750	Carub.0004s2518
AT2G42760	Carub.0004s2519
AT2G42700	Carub.0004s2514
AT2G42710	Carub.0004s2515
AT2G42680	Carub.0004s2512
AT2G42690	Carub.0004s2513
AT2G42660	Carub.0004s2510
AT2G42670	Carub.0004s2511
AT1G27370	Carub.0001s2590
AT1G27380	Carub.0001s2591
AT1G27385	Carub.0001s2592
AT1G27390	Carub.0001s2593
AT1G27400	Carub.0001s2594
AT1G27410	Carub.0001s2595
AT1G27420	Carub.0001s2596
AT1G27435	Carub.0001s2598
AT1G27440	Carub.0001s2599
AT2G42850	Carub.0004s2529
AT2G42830	Carub.0004s2527
AT2G42840	Carub.0004s2528
AT2G42810	Carub.0004s2525
AT2G42820	Carub.0004s2526
AT2G42790	Carub.0004s2523
AT2G42800	Carub.0004s2524
AT2G42770	Carub.0004s2521
AT2G42780	Carub.0004s2522
AT2G30890	Carub.0004s1209
AT2G42910	Carub.0004s2538
AT2G30870	Carub.0004s1207
AT2G42920	Carub.0004s2539
AT2G30880	Carub.0004s1208
AT2G42890	Carub.0004s2536
AT2G30860	Carub.0004s1206
AT2G42900	Carub.0004s2537
AT2G30820	Carub.0004s1203
AT2G30830	Carub.0004s1204
AT2G42880	Carub.0004s2532
AT2G30800	Carub.0004s1201
AT2G30810	Carub.0004s1202
AT2G42860	Carub.0004s2530
AT2G42870	Carub.0004s2531
AT2G30790	Carub.0004s1200
AT4G19450	Carub.0007s2176
AT1G13060	Carub.0001s1281
AT4G19460	Carub.0007s2175
AT1G13050	Carub.0001s1280
AT4G19430	Carub.0007s2178
AT4G19440	Carub.0007s2177
AT4G19490	Carub.0007s2172
AT5G54650	Carub.0008s1491
AT5G46300	Carub.0008s0160
AT5G54640	Carub.0008s1490
AT5G54670	Carub.0008s1493
AT5G46290	Carub.0008s0162
AT5G54660	Carub.0008s1492
AT5G46295	Carub.0008s0161
AT5G54690	Carub.0008s1495
AT5G54680	Carub.0008s1494
AT5G46280	Carub.0008s0163
AT5G54730	Carub.0008s1497
AT5G46240	Carub.0008s0166
AT5G50140	Carub.0008s1496
AT5G46250	Carub.0008s0165
AT5G54610	Carub.0008s1488
AT5G46340	Carub.0008s0157
AT5G54600	Carub.0008s1487
AT5G46350	Carub.0008s0156
AT5G46320	Carub.0008s0159
AT5G54630	Carub.0008s1489
AT5G46330	Carub.0008s0158
AT2G30960	Carub.0004s1218
AT2G30970	Carub.0004s1219
AT2G43000	Carub.0004s2547
AT2G30942	Carub.0004s1216
AT2G43010	Carub.0004s2548
AT2G30950	Carub.0004s1217
AT1G13040	Carub.0001s1279
AT2G30933	Carub.0004s1214
AT2G42980	Carub.0004s2545
AT1G13030	Carub.0001s1278
AT1G54540	Carub.0002s0910
AT2G30940	Carub.0004s1215
AT2G42990	Carub.0004s2546
AT1G13020	Carub.0001s1277
AT2G42960	Carub.0004s2543
AT2G30920	Carub.0004s1212
AT1G13000	Carub.0001s1276
AT1G54530	Carub.0002s0912
AT1G12990	Carub.0001s1275
AT2G30930	Carub.0004s1213
AT2G42975	Carub.0004s2544
AT1G54520	Carub.0002s0913
AT1G12980	Carub.0001s1274
AT2G42940	Carub.0004s2541
AT2G30900	Carub.0004s1210
AT5G40530	Carub.0007s3499
AT1G12970	Carub.0001s1273
AT4G19520	Carub.0007s2168
AT2G42950	Carub.0004s2542
AT1G12950	Carub.0001s1272
AT1G12940	Carub.0001s1271
AT2G42930	Carub.0004s2540
AT5G40560	Carub.0007s3496
AT1G12930	Carub.0001s1270
AT4G19550	Carub.0007s2165
AT2G26230	Carub.0002s0907
AT5G40570	Carub.0007s3495
AT4G19560	Carub.0007s2164
AT2G43120	Carub.0004s2560
AT5G40540	Carub.0007s3498
AT4G19530	Carub.0007s2167
AT5G40550	Carub.0007s3497
AT4G19540	Carub.0007s2166
AT3G55680	Carub.0007s2161
AT5G40590	Carub.0007s3491
AT5G37760	Carub.0007s2163
AT1G54575	Carub.0002s0905
AT4G19570	Carub.0007s2162
AT1G54570	Carub.0002s0906
AT5G54520	Carub.0008s1480
AT5G54540	Carub.0008s1482
AT5G54530	Carub.0008s1481
AT5G46390	Carub.0008s0150
AT5G54580	Carub.0008s1484
AT5G46380	Carub.0008s0153
AT5G54570	Carub.0008s1483
AT5G10880	Carub.0008s0152
AT5G54590	Carub.0008s1486
AT5G54585	Carub.0008s1485
AT5G54490	Carub.0008s1477
AT5G54470	Carub.0008s1476
AT5G46460	Carub.0008s0145
AT5G54510	Carub.0008s1479
AT5G54500	Carub.0008s1478
AT5G46420	Carub.0008s0147
AT2G31060	Carub.0004s1229
AT5G46400	Carub.0008s0149
AT1G12920	Carub.0001s1269
AT2G43100	Carub.0004s2558
AT1G12910	Carub.0001s1268
AT2G43110	Carub.0004s2559
AT2G31040	Carub.0004s1225
AT2G43080	Carub.0004s2556
AT1G12900	Carub.0001s1267
AT1G12890	Carub.0001s1266
AT2G43090	Carub.0004s2557
AT1G12880	Carub.0001s1265
AT2G43060	Carub.0004s2554
AT1G54610	Carub.0002s0901
AT1G12870	Carub.0001s1264
AT2G31035	Carub.0004s1224
AT2G43070	Carub.0004s2555
AT5G40600	Carub.0007s3489
AT2G43040	Carub.0004s2552
AT4G19600	Carub.0007s2158
AT2G30990	Carub.0004s1221
AT5G40610	Carub.0007s3488
AT1G12860	Carub.0001s1262
AT2G31010	Carub.0004s1222
AT2G43050	Carub.0004s2553
AT1G12855	Carub.0001s1261
AT2G43020	Carub.0004s2550
AT1G12850	Carub.0001s1260
AT2G43030	Carub.0004s2551
AT4G19590	Carub.0007s2159
AT2G30980	Carub.0004s1220
AT2G43235	Carub.0004s2570
AT4G19170	Carub.0007s2198
AT2G43240	Carub.0004s2571
AT4G19180	Carub.0007s2197
AT4G19160	Carub.0007s2199
AT4G19191	Carub.0007s2194
AT4G19200	Carub.0007s2193
AT1G54460	Carub.0002s0937
AT1G54450	Carub.0002s0938
AT4G19185	Carub.0007s2196
AT4G19190	Carub.0007s2195
AT4G19230	Carub.0007s2190
AT5G54380	Carub.0008s1471
AT1G48850	Carub.0001s3800
AT3G19565	Carub.0008s0140
AT4G19210	Carub.0007s2192
AT5G54370	Carub.0008s1470
AT1G48870	Carub.0001s3801
AT4G19220	Carub.0007s2191
AT5G54400	Carub.0008s1473
AT2G10553	Carub.0001s3802
AT5G54390	Carub.0008s1472
AT1G48880	Carub.0001s3803
AT5G54430	Carub.0008s1475
AT1G48900	Carub.0001s3804
AT5G54440	Carub.0008s1474
AT1G48910	Carub.0001s3805
AT4G08450	Carub.0008s0143
AT5G54310	Carub.0008s1466
AT5G54300	Carub.0008s1465
AT5G46570	Carub.0008s0134
AT5G49560	Carub.0008s2796
AT3G57300	Carub.0001s3808
AT5G46550	Carub.0008s0137
AT5G49555	Carub.0008s2797
AT1G48920	Carub.0001s3809
AT5G46560	Carub.0008s0136
AT3G44200	Carub.0005s0995
AT5G40060	Carub.0008s0139
AT1G12845	Carub.0001s1259
AT3G44220	Carub.0005s0996
AT5G46530	Carub.0008s0138
AT1G12840	Carub.0001s1258
AT2G43230	Carub.0004s2569
AT2G31110	Carub.0004s1238
AT1G12830	Carub.0001s1257
AT3G44190	Carub.0005s0994
AT2G31130	Carub.0004s1239
AT1G12820	Carub.0001s1256
AT3G44260	Carub.0005s0999
AT2G43200	Carub.0004s2567
AT1G12810	Carub.0001s1255
AT2G43210	Carub.0004s2568
AT1G54510	Carub.0002s0933
AT2G31085	Carub.0004s1234
AT2G43180	Carub.0004s2565
AT1G54500	Carub.0002s0934
AT1G12805	Carub.0001s1253
AT2G31090	Carub.0004s1235
AT1G54490	Carub.0002s0935
AT2G43190	Carub.0004s2566
AT1G12800	Carub.0001s1252
AT2G31082	Carub.0004s1232
AT2G31083	Carub.0004s1233
AT1G12790	Carub.0001s1251
AT2G43160	Carub.0004s2564
AT2G31070	Carub.0004s1230
AT2G43130	Carub.0004s2561
AT2G31081	Carub.0004s1231
AT2G43140	Carub.0004s2562
AT4G19360	Carub.0007s2187
AT2G43350	Carub.0004s2581
AT2G31220	Carub.0004s1250
AT4G19370	Carub.0007s2186
AT2G43360	Carub.0004s2582
AT2G31230	Carub.0004s1251
AT4G19350	Carub.0007s2188
AT2G43340	Carub.0004s2580
AT4G19400	Carub.0007s2183
AT4G19380	Carub.0007s2185
AT4G19390	Carub.0007s2184
AT5G66595	Carub.0008s2790
AT5G66600	Carub.0008s2791
AT1G48930	Carub.0001s3810
AT5G54260	Carub.0008s1460
AT1G48950	Carub.0001s3812
AT5G54270	Carub.0008s1462
AT5G66570	Carub.0008s2794
AT1G48960	Carub.0001s3813
AT5G46600	Carub.0008s0131
AT5G66560	Carub.0008s2795
AT1G48970	Carub.0001s3814
AT5G46610	Carub.0008s0130
AT5G54290	Carub.0008s1464
AT5G66590	Carub.0008s2792
AT5G46580	Carub.0008s0133
AT5G54280	Carub.0008s1463
AT5G66580	Carub.0008s2793
AT1G48990	Carub.0001s3816
AT5G46590	Carub.0008s0132
AT5G66640	Carub.0008s2787
AT5G46680	Carub.0008s0124
AT5G66631	Carub.0008s2788
AT5G46690	Carub.0008s0123
AT1G49000	Carub.0001s3818
AT5G54230	Carub.0008s1457
AT5G66650	Carub.0008s2785
AT5G46650	Carub.0008s0126
AT1G49005	Carub.0001s3819
AT5G54225	Carub.0008s1456
AT5G54250	Carub.0008s1459
AT5G46630	Carub.0008s0128
AT5G54240	Carub.0008s1458
AT1G12770	Carub.0001s1248
AT5G46640	Carub.0008s0127
AT1G12760	Carub.0001s1247
AT5G46620	Carub.0008s0129
AT1G12750	Carub.0001s1245
AT2G43320	Carub.0004s2578
AT2G31190	Carub.0004s1247
AT1G12740	Carub.0001s1244
AT2G43330	Carub.0004s2579
AT2G31200	Carub.0004s1248
AT1G12730	Carub.0001s1243
AT2G43290	Carub.0004s2576
AT2G31170	Carub.0004s1245
AT1G12710	Carub.0001s1242
AT2G43310	Carub.0004s2577
AT2G31180	Carub.0004s1246
AT2G43260	Carub.0004s2574
AT2G31140	Carub.0004s1243
AT1G12680	Carub.0001s1240
AT4G19420	Carub.0007s2179
AT2G31160	Carub.0004s1244
AT2G43250	Carub.0004s2573
AT2G43465	Carub.0004s2592
AT2G31305	Carub.0004s1261
AT2G43470	Carub.0004s2593
AT2G31310	Carub.0004s1262
AT2G43430	Carub.0004s2590
AT3G11870	Carub.0004s1260
AT1G49010	Carub.0001s3820
AT5G66700	Carub.0008s2780
AT1G49040	Carub.0001s3822
AT1G49050	Carub.0001s3823
AT5G54190	Carub.0008s1451
AT5G66675	Carub.0008s2783
AT5G46720	Carub.0008s0120
AT1G49100	Carub.0001s3825
AT5G46700	Carub.0008s0122
AT1G49110	Carub.0001s3827
AT5G54200	Carub.0008s1452
AT5G66680	Carub.0008s2782
AT5G46710	Carub.0008s0121
AT1G49120	Carub.0001s3828
AT5G54145	Carub.0008s1444
AT5G66740	Carub.0008s2776
AT5G46790	Carub.0008s0113
AT1G49130	Carub.0001s3829
AT5G54140	Carub.0008s1443
AT5G66730	Carub.0008s2777
AT5G46795	Carub.0008s0112
AT5G66750	Carub.0008s2774
AT5G46770	Carub.0008s0115
AT5G66760	Carub.0008s2775
AT5G46780	Carub.0008s0114
AT5G54170	Carub.0008s1448
AT5G46750	Carub.0008s0117
AT1G12665	Carub.0001s1237
AT5G54165	Carub.0008s1447
AT5G46760	Carub.0008s0116
AT1G12663	Carub.0001s1236
AT5G66720	Carub.0008s2778
AT1G12660	Carub.0001s1235
AT5G54180	Carub.0008s1449
AT5G66710	Carub.0008s2779
AT5G46740	Carub.0008s0118
AT3G43960	Carub.0005s0972
AT1G12650	Carub.0001s1234
AT3G44020	Carub.0005s0977
AT2G43420	Carub.0004s2589
AT2G31290	Carub.0004s1258
AT1G12640	Carub.0001s1233
AT1G12630	Carub.0001s1232
AT2G43400	Carub.0004s2587
AT2G43410	Carub.0004s2588
AT2G31280	Carub.0004s1257
AT2G31270	Carub.0004s1254
AT2G43390	Carub.0004s2586
AT3G44050	Carub.0005s0979
AT2G43370	Carub.0004s2583
AT2G31240	Carub.0004s1252
AT2G43386	Carub.0004s2584
AT2G31260	Carub.0004s1253
AT2G31400	Carub.0004s1272
AT2G31410	Carub.0004s1273
AT2G31380	Carub.0004s1270
AT2G31390	Carub.0004s1271
AT1G49140	Carub.0001s3830
AT1G73430	Carub.0001s3831
AT1G25480	Carub.0001s2500
AT5G01830	Carub.0001s3832
AT1G49150	Carub.0001s3833
AT1G25470	Carub.0001s2502
AT1G25460	Carub.0001s2503
AT1G49160	Carub.0001s3835
AT5G54110	Carub.0008s1440
AT5G66790	Carub.0008s2772
AT1G49170	Carub.0001s3836
AT1G25440	Carub.0001s2505
AT5G66780	Carub.0008s2773
AT1G49180	Carub.0001s3837
AT1G25425	Carub.0001s2506
AT5G54130	Carub.0008s1442
AT5G66810	Carub.0008s2770
AT5G46800	Carub.0008s0111
AT1G49190	Carub.0001s3838
AT1G25422	Carub.0001s2507
AT5G66800	Carub.0008s2771
AT1G25420	Carub.0001s2508
AT5G66840	Carub.0008s2765
AT1G25410	Carub.0001s2509
AT5G66820	Carub.0008s2766
AT5G54060	Carub.0008s1432
AT1G12610	Carub.0001s1229
AT5G66860	Carub.0008s2763
AT5G46870	Carub.0008s0104
AT1G12600	Carub.0001s1228
AT5G66850	Carub.0008s2764
AT5G54070	Carub.0008s1434
AT1G12580	Carub.0001s1227
AT5G66815	Carub.0008s2769
AT5G46850	Carub.0008s0106
AT5G54090	Carub.0008s1437
AT1G12570	Carub.0001s1226
AT3G44100	Carub.0005s0985
AT5G46860	Carub.0008s0105
AT5G54080	Carub.0008s1436
AT1G12560	Carub.0001s1225
AT5G54100	Carub.0008s1439
AT1G12550	Carub.0001s1224
AT5G66816	Carub.0008s2768
AT5G46840	Carub.0008s0107
AT5G54095	Carub.0008s1438
AT1G12540	Carub.0001s1223
AT2G31370	Carub.0004s1269
AT1G12530	Carub.0001s1222
AT3G44170	Carub.0005s0989
AT5G46830	Carub.0008s0109
AT1G12520	Carub.0001s1221
AT2G31350	Carub.0004s1267
AT1G12500	Carub.0001s1220
AT3G44150	Carub.0005s0987
AT2G31360	Carub.0004s1268
AT2G31340	Carub.0004s1265
AT2G43500	Carub.0004s2596
AT2G31345	Carub.0004s1266
AT2G43510	Carub.0004s2597
AT2G43480	Carub.0004s2594
AT2G31320	Carub.0004s1263
AT2G31335	Carub.0004s1264
AT2G31510	Carub.0004s1283
AT2G31530	Carub.0004s1284
AT2G31490	Carub.0004s1281
AT2G31500	Carub.0004s1282
AT1G25400	Carub.0001s2510
AT1G49230	Carub.0001s3842
AT1G49240	Carub.0001s3843
AT1G25390	Carub.0001s2512
AT1G49245	Carub.0001s3844
AT1G25380	Carub.0001s2513
AT1G49270	Carub.0001s3845
AT1G25375	Carub.0001s2514
AT1G49290	Carub.0001s3846
AT1G25370	Carub.0001s2515
AT1G49300	Carub.0001s3847
AT5G66870	Carub.0008s2762
AT1G25360	Carub.0001s2517
AT1G49310	Carub.0001s3848
AT5G46880	Carub.0008s0100
AT1G25340	Carub.0001s2518
AT5G66890	Carub.0008s2760
AT5G54000	Carub.0008s1430
AT5G53910	Carub.0008s1422
AT1G25330	Carub.0001s2519
AT5G66960	Carub.0008s2754
AT1G12480	Carub.0001s1219
AT5G66950	Carub.0008s2755
AT5G53930	Carub.0008s1424
AT1G12470	Carub.0001s1218
AT5G66985	Carub.0008s2752
AT5G53920	Carub.0008s1423
AT5G66980	Carub.0008s2753
AT5G53950	Carub.0008s1426
AT1G12460	Carub.0001s1216
AT5G66920	Carub.0008s2758
AT5G53940	Carub.0008s1425
AT1G12450	Carub.0001s1215
AT1G12440	Carub.0001s1214
AT5G53980	Carub.0008s1428
AT5G66940	Carub.0008s2756
AT1G12430	Carub.0001s1213
AT5G53970	Carub.0008s1427
AT5G66930	Carub.0008s2757
AT2G31450	Carub.0004s1278
AT2G31480	Carub.0004s1279
AT2G31440	Carub.0004s1277
AT2G31420	Carub.0004s1274
AT2G31650	Carub.0004s1295
AT2G31620	Carub.0004s1292
AT1G49320	Carub.0001s3850
AT1G49330	Carub.0001s3851
AT1G25320	Carub.0001s2520
AT1G49340	Carub.0001s3852
AT1G25310	Carub.0001s2521
AT1G49350	Carub.0001s3853
AT1G25300	Carub.0001s2522
AT1G49380	Carub.0001s3855
AT1G49390	Carub.0001s3856
AT1G25290	Carub.0001s2526
AT1G25280	Carub.0001s2527
AT5G66990	Carub.0008s2751
AT5G53900	Carub.0008s1420
AT1G49405	Carub.0001s3859
AT1G25275	Carub.0001s2529
AT5G53820	Carub.0008s1411
AT5G67080	Carub.0008s2743
AT5G53810	Carub.0008s1410
AT5G67070	Carub.0008s2744
AT1G12420	Carub.0001s1207
AT5G53840	Carub.0008s1413
AT5G67100	Carub.0008s2741
AT1G12410	Carub.0001s1206
AT5G53830	Carub.0008s1412
AT5G67090	Carub.0008s2742
AT1G12400	Carub.0001s1205
AT5G53860	Carub.0008s1415
AT5G67030	Carub.0008s2747
AT5G53850	Carub.0008s1414
AT5G67020	Carub.0008s2748
AT1G12370	Carub.0001s1203
AT5G53880	Carub.0008s1417
AT3G43800	Carub.0005s0960
AT5G67060	Carub.0008s2745
AT1G12360	Carub.0001s1202
AT5G53870	Carub.0008s1416
AT5G67050	Carub.0008s2746
AT1G12330	Carub.0001s1200
AT5G53890	Carub.0008s1418
AT3G43850	Carub.0005s0964
AT2G31580	Carub.0004s1289
AT3G43860	Carub.0005s0965
AT2G31570	Carub.0004s1287
AT2G31550	Carub.0004s1285
AT2G31560	Carub.0004s1286
AT2G40475	Carub.0004s2273
AT2G40480	Carub.0004s2274
AT2G40460	Carub.0004s2271
AT2G40470	Carub.0004s2272
AT2G40450	Carub.0004s2270
AT5G41310	Carub.0007s3419
AT5G41330	Carub.0007s3416
AT5G41450	Carub.0007s3415
AT5G41315	Carub.0007s3418
AT2G40430	Carub.0004s2268
AT5G41320	Carub.0007s3417
AT2G40435	Carub.0004s2269
AT2G40410	Carub.0004s2266
AT2G40420	Carub.0004s2267
AT5G41340	Carub.0007s3414
AT2G40400	Carub.0004s2264
AT5G41350	Carub.0007s3413
AT2G40570	Carub.0004s2284
AT2G40580	Carub.0004s2285
AT5G41380	Carub.0007s3410
AT2G40530	Carub.0004s2280
AT2G40520	Carub.0004s2281
AT5G41390	Carub.0007s3409
AT5G41400	Carub.0007s3408
AT3G28490	Carub.0005s0702
AT5G41460	Carub.0007s3404
AT3G28500	Carub.0005s0703
AT5G41410	Carub.0007s3407
AT3G28470	Carub.0005s0700
AT3G28480	Carub.0005s0701
AT3G28540	Carub.0005s0706
AT2G40550	Carub.0004s2277
AT2G40540	Carub.0004s2278
AT5G41470	Carub.0007s3403
AT2G40490	Carub.0004s2275
AT5G41480	Carub.0007s3402
AT3G28510	Carub.0005s0705
AT5G41080	Carub.0007s3441
AT4G20030	Carub.0007s2110
AT2G40660	Carub.0004s2295
AT2G40670	Carub.0004s2296
AT5G41060	Carub.0007s3443
AT4G20010	Carub.0007s2112
AT2G40640	Carub.0004s2293
AT5G41070	Carub.0007s3442
AT4G20020	Carub.0007s2111
AT2G40650	Carub.0004s2294
AT2G40620	Carub.0004s2291
AT2G40630	Carub.0004s2292
AT2G40610	Carub.0004s2290
AT5G41110	Carub.0007s3438
AT4G20060	Carub.0007s2107
AT5G41120	Carub.0007s3437
AT4G20070	Carub.0007s2106
AT4G20040	Carub.0007s2109
AT5G41100	Carub.0007s3439
AT4G20050	Carub.0007s2108
AT5G41130	Carub.0007s3434
AT2G40600	Carub.0004s2288
AT5G41140	Carub.0007s3433
AT4G20100	Carub.0007s2102
AT4G20090	Carub.0007s2104
AT5G41180	Carub.0007s3430
AT5G41150	Carub.0007s3432
AT4G20110	Carub.0007s2101
AT4G20130	Carub.0007s2100
AT5G41190	Carub.0007s3429
AT2G40700	Carub.0004s2299
AT5G41280	Carub.0007s3424
AT2G40690	Carub.0004s2298
AT5G40870	Carub.0007s3463
AT4G19890	Carub.0007s2132
AT4G19900	Carub.0007s2131
AT5G40850	Carub.0007s3465
AT4G19865	Carub.0007s2134
AT5G40860	Carub.0007s3464
AT5G40890	Carub.0007s3461
AT5G40900	Carub.0007s3460
AT4G19925	Carub.0007s2128
AT5G40940	Carub.0007s3456
AT4G19930	Carub.0007s2125
AT5G40950	Carub.0007s3455
AT5G40910	Carub.0007s3458
AT5G40930	Carub.0007s3457
AT5G40980	Carub.0007s3452
AT4G22035	Carub.0007s2121
AT5G40990	Carub.0007s3451
AT4G19950	Carub.0007s2120
AT5G40960	Carub.0007s3454
AT5G46020	Carub.0008s0191
AT5G46030	Carub.0008s0190
AT5G45970	Carub.0008s0195
AT5G45980	Carub.0008s0194
AT5G45950	Carub.0008s0197
AT5G45960	Carub.0008s0196
AT5G45930	Carub.0008s0199
AT5G45940	Carub.0008s0198
AT5G46040	Carub.0008s0189
AT5G41000	Carub.0007s3449
AT4G19975	Carub.0007s2118
AT5G41010	Carub.0007s3448
AT4G19980	Carub.0007s2117
AT4G19960	Carub.0007s2119
AT5G41040	Carub.0007s3445
AT5G41050	Carub.0007s3444
AT4G20000	Carub.0007s2113
AT5G41020	Carub.0007s3447
AT4G19985	Carub.0007s2116
AT5G41030	Carub.0007s3446
AT4G19990	Carub.0007s2115
AT5G40640	Carub.0007s3485
AT5G40645	Carub.0007s3484
AT4G19640	Carub.0007s2153
AT5G40620	Carub.0007s3487
AT4G19620	Carub.0007s2156
AT5G40630	Carub.0007s3486
AT5G40670	Carub.0007s3481
AT5G40680	Carub.0007s3480
AT5G40650	Carub.0007s3483
AT4G19645	Carub.0007s2152
AT5G40660	Carub.0007s3482
AT5G46110	Carub.0008s0182
AT5G46090	Carub.0008s0184
AT5G46100	Carub.0008s0183
AT5G46070	Carub.0008s0186
AT5G46080	Carub.0008s0185
AT5G46050	Carub.0008s0188
AT5G46060	Carub.0008s0187
AT5G40700	Carub.0007s3478
AT4G19680	Carub.0007s2147
AT4G19690	Carub.0007s2146
AT4G19660	Carub.0007s2149
AT5G40690	Carub.0007s3479
AT4G19670	Carub.0007s2148
AT5G40740	Carub.0007s3474
AT5G40760	Carub.0007s3473
AT5G40720	Carub.0007s3476
AT5G40730	Carub.0007s3475
AT4G19710	Carub.0007s2144
AT5G40790	Carub.0007s3470
AT5G40770	Carub.0007s3472
AT5G40780	Carub.0007s3471
AT5G46210	Carub.0008s0171
AT5G25415	Carub.0008s0170
AT1G29760	Carub.0001s2800
AT5G46200	Carub.0008s0172
AT5G46170	Carub.0008s0175
AT1G29770	Carub.0001s2801
AT5G46180	Carub.0008s0174
AT1G29780	Carub.0001s2802
AT5G46150	Carub.0008s0177
AT1G29790	Carub.0001s2804
AT1G29800	Carub.0001s2805
AT5G46230	Carub.0008s0168
AT1G29810	Carub.0001s2806
AT5G46220	Carub.0008s0169
AT1G29850	Carub.0001s2809
AT1G02870	Carub.0001s0199
AT1G02860	Carub.0001s0198
AT1G02850	Carub.0001s0197
AT1G02840	Carub.0001s0196
AT5G40830	Carub.0007s3467
AT4G19850	Carub.0007s2136
AT5G40840	Carub.0007s3466
AT4G19860	Carub.0007s2135
AT5G40800	Carub.0007s3469
AT4G19830	Carub.0007s2138
AT1G02820	Carub.0001s0193
AT5G40810	Carub.0007s3468
AT4G19840	Carub.0007s2137
AT1G50000	Carub.0151s0002
AT1G49990	Carub.0151s0001
AT1G30640	Carub.0001s2890
AT1G30650	Carub.0001s2891
AT1G30690	Carub.0001s2897
AT1G30700	Carub.0001s2898
AT5G65930	Carub.0008s2860
AT5G65990	Carub.0008s2853
AT5G54910	Carub.0008s1521
AT5G65980	Carub.0008s2854
AT5G54900	Carub.0008s1520
AT1G03150	Carub.0001s0229
AT1G15800	Carub.0001s1559
AT5G54930	Carub.0008s1523
AT5G66005	Carub.0008s2851
AT5G54920	Carub.0008s1522
AT5G66000	Carub.0008s2852
AT5G65950	Carub.0008s2857
AT5G54960	Carub.0008s1525
AT1G03120	Carub.0001s0226
AT1G15770	Carub.0001s1556
AT5G54940	Carub.0008s1524
AT1G03110	Carub.0001s0225
AT5G65970	Carub.0008s2855
AT5G54980	Carub.0008s1527
AT1G03100	Carub.0001s0224
AT5G65960	Carub.0008s2856
AT1G15760	Carub.0001s1554
AT5G54970	Carub.0008s1526
AT1G03090	Carub.0001s0223
AT5G55000	Carub.0008s1529
AT1G03080	Carub.0001s0222
AT1G15750	Carub.0001s1552
AT5G54990	Carub.0008s1528
AT1G03070	Carub.0001s0221
AT5G65940	Carub.0008s2859
AT1G15740	Carub.0001s1551
AT1G03060	Carub.0001s0220
AT1G15730	Carub.0001s1550
AT5G66010	Carub.0008s2850
AT5G66090	Carub.0008s2842
AT1G03055	Carub.0001s0219
AT1G15720	Carub.0001s1549
AT5G66070	Carub.0008s2843
AT1G03050	Carub.0001s0218
AT5G54830	Carub.0008s1512
AT1G15710	Carub.0001s1548
AT1G03040	Carub.0001s0217
AT1G15700	Carub.0001s1547
