AT2G36840	AL4G33040
AT5G22450	AL6G33470
AT1G22180	AL1G35630
AT3G08690	AL3G19690
AT5G20600	AL6G32140
AT2G46570	AL4G46000
AT4G39917	AL7G12170
AT4G17220	AL7G37490
AT4G18250	AL7G36160
AT1G02305	AL1G11640
AT1G02010	AL1G10310
AT2G28810	AL4G23340
AT2G29940	AL4G24670
AT2G47760	AL4G47330
AT5G45930	AL8G12600
AT3G16270	AL3G29010
AT4G10270	AL6G44110
AT4G11220	AL6G45440
AT3G19250	AL3G32650
AT5G09760	AL6G20160
AT5G10930	AL6G21490
AT1G53420	AL1G61930
AT4G11990	AL6G46770
AT1G33230	AL1G47600
AT1G34370	AL1G48930
AT4G27330	AL7G25480
AT5G38690	AL7G51760
AT2G04305	AL3G42000
AT2G39350	AL4G36690
AT2G37540	AL4G34030
AT5G51670	AL8G25920
AT3G07120	AL3G18370
AT5G23490	AL6G34770
AT3G06180	AL3G17040
AT4G17245	AL7G37460
AT2G28150	AL4G22000
AT2G28800	AL4G23330
AT2G30960	AL4G25990
AT2G47770	AL4G47340
AT3G16280	AL3G29020
AT1G02335	AL1G11670
AT1G01980	AL1G10340
AT2G46580	AL4G46010
AT5G45875	AL3G31350
AT3G19280	AL3G32680
AT3G17040	AL3G30020
AT5G12000	AL6G22790
AT1G34360	AL1G48920
AT5G10900	AL6G21460
AT1G53430	AL1G61940
AT1G13250	AL1G24950
AT4G28397	AL7G24180
AT5G41330	AL7G48110
AT2G22040	AL4G11350
AT2G37550	AL4G34040
AT5G51680	AL8G25930
AT2G07772	AL3G44650
AT1G22160	AL1G35610
AT3G07130	AL3G18380
AT5G22430	AL6G33450
AT5G23510	AL6G34780
AT1G01990	AL1G10330
AT5G20580	AL6G32120
AT2G28790	AL4G23320
AT5G50390	AL8G24600
AT3G06190	AL3G17050
AT4G39940	AL7G12190
AT4G17240	AL7G37470
AT2G30950	AL4G25980
AT5G45920	AL8G12620
AT1G02330	AL1G11660
AT3G19270	AL3G32670
AT2G46590	AL4G46020
AT3G18165	AL3G31340
AT3G17030	AL3G30010
AT5G09740	AL6G20140
AT5G10910	AL6G21470
AT1G53440	AL1G61950
AT5G40405	AL7G49454
AT5G61240	AL8G37900
AT4G28400	AL7G24170
AT4G11980	AL6G46750
AT3G16290	AL3G29030
AT5G41320	AL7G48120
AT4G27350	AL7G25450
AT2G23950	AL4G13990
AT4G26190	AL7G26780
AT2G04350	AL3G42020
AT5G39830	AL7G50410
AT1G33260	AL1G47650
AT1G10290	AL1G21020
AT1G11270	AL1G22350
AT5G38710	AL7G51740
AT1G34420	AL1G48980
AT1G12360	AL1G23680
AT3G07140	AL3G18390
AT2G29900	AL4G24640
AT2G28780	AL4G23310
AT3G06200	AL3G17060
AT5G22400	AL6G33420
AT5G01350	AL6G10780
AT2G47780	AL4G47360
AT1G01960	AL1G10360
AT4G16265	AL7G38770
AT4G17260	AL7G37440
AT3G17060	AL3G30040
AT1G51690	AL1G59630
AT1G20160	AL1G33000
AT2G46600	AL4G46030
AT1G22210	AL1G35660
AT5G10870	AL6G21440
AT2G22010	AL4G11330
AT4G11970	AL6G46740
AT5G11980	AL6G22770
AT5G09680	AL6G20110
AT1G12370	AL1G23690
AT5G20390	AL6G32102
AT2G23945	AL4G13980
AT2G04340	AL3G42010
AT4G28450	AL7G24110
AT5G20560	AL6G32104
AT4G27360	AL7G25440
AT4G26200	AL7G26770
AT2G05810	AL3G43340
AT2G37570	AL4G34060
AT1G10300	AL1G21030
AT2G38300	AL4G35390
AT3G19290	AL3G32690
AT2G29890	AL4G24630
AT5G22410	AL6G33430
AT5G23480	AL6G34760
AT5G01360	AL6G10770
AT4G16260	AL7G38780
AT3G06210	AL3G17070
AT4G39890	AL7G12130
AT4G17250	AL7G37450
AT4G18270	AL7G36120
AT1G02340	AL1G11680
AT1G01970	AL1G10350
AT3G18170	AL3G31360
AT1G22220	AL1G35670
AT1G21250	AL1G34340
AT2G47790	AL4G47370
AT2G46610	AL4G46040
AT5G11990	AL6G22780
AT2G22000	AL4G11320
AT5G41440	AL7G48100
AT5G10890	AL6G21450
AT4G11960	AL6G46730
AT3G16300	AL3G29050
AT5G22380	AL6G33400
AT4G28430	AL7G24140
AT2G23940	AL4G13970
AT1G13280	AL1G24992
AT1G12330	AL1G23660
AT1G33250	AL1G47630
AT3G18200	AL3G31390
AT1G21230	AL1G34310
AT3G17080	AL3G30060
AT5G23440	AL6G34730
AT2G46620	AL4G46050
AT4G17280	AL7G37420
AT1G22190	AL1G35640
AT5G08470	AL6G19130
AT2G47800	AL4G47380
AT5G45220	AL8G13902
AT1G01940	AL1G10380
AT1G32190	AL1G46300
AT1G10270	AL1G21000
AT2G05840	AL3G43370
AT2G21990	AL4G11310
AT1G64200	AL2G10800
AT2G22990	AL4G12640
AT5G11970	AL6G22750
AT2G04400	AL3G42040
AT4G27340	AL7G25470
AT5G10840	AL6G21420
AT3G16310	AL3G29060
AT4G11950	AL6G46720
AT4G28440	AL7G24130
AT2G04360	AL3G42030
AT1G10280	AL1G21010
AT1G12350	AL1G23670
AT5G39840	AL7G50400
AT3G06230	AL3G17090
AT3G18190	AL3G31380
AT5G22390	AL6G33410
AT5G23450	AL6G34740
AT1G01950	AL1G10370
AT4G16270	AL7G38760
AT2G20830	AL3G54000
AT2G46630	AL4G46060
AT4G39900	AL7G12150
AT4G17270	AL7G37430
AT4G18290	AL7G36100
AT1G22200	AL1G35650
AT5G08460	AL6G19120
AT2G47810	AL4G47390
AT1G21240	AL1G34320
AT3G16320	AL3G29070
AT2G22980	AL4G12630
AT2G05830	AL3G43360
AT5G40420	AL7G49410
AT4G26180	AL7G26790
AT5G09670	AL6G20100
AT5G10860	AL6G21430
AT5G50420	AL8G24652
AT1G33290	AL1G47690
AT5G49530	AL8G23320
AT1G11310	AL1G22390
AT4G27390	AL7G25410
AT1G64810	AL2G19190
AT3G17100	AL3G30080
AT5G51720	AL8G25980
AT5G50423	AL8G24654
AT1G21280	AL1G34370
AT1G51730	AL1G59670
AT1G20200	AL1G33040
AT1G50670	AL1G58340
AT1G72470	AL2G32160
AT5G60050	AL8G36640
AT5G61310	AL8G37970
AT1G73690	AL2G33490
AT4G16310	AL7G38730
AT4G17310	AL7G37400
AT4G13170	AL9U10870
AT1G49620	AL1G57010
AT5G46930	AL8G11340
AT2G04425	AL3G42060
AT5G48830	AL8G22000
AT5G49540	AL8G23330
AT1G32220	AL1G46350
AT5G50430	AL8G24660
AT1G33280	AL1G47680
AT1G10330	AL1G21070
AT1G64800	AL2G19180
AT3G17090	AL3G30070
AT5G51730	AL8G25990
AT5G60040	AL8G36630
AT1G52420	AL1G60680
AT1G72460	AL2G32150
AT5G61300	AL8G37960
AT1G51720	AL1G59660
AT1G50660	AL1G58330
AT4G17300	AL7G37410
AT2G28080	AL4G22090
AT1G01930	AL1G10390
AT2G39290	AL4G36600
AT5G38720	AL7G51700
AT4G13160	AL9U10880
AT5G45880	AL8G12680
AT5G46920	AL8G11350
AT2G04410	AL3G42050
AT4G26210	AL7G26760
AT4G27370	AL7G25430
AT1G33270	AL1G47670
AT5G50440	AL8G24670
AT4G28460	AL7G24100
AT1G10310	AL1G21040
AT2G20840	AL3G54030
AT4G37380	AL7G13450
AT5G57930	AL8G34000
AT4G39880	AL7G12120
AT1G22230	AL1G35680
AT5G58950	AL8G35330
AT4G36250	AL7G14780
AT1G51710	AL1G59650
AT1G20180	AL1G33020
AT1G50650	AL1G58320
AT1G72490	AL2G32180
AT5G20640	AL6G32190
AT4G16340	AL7G38710
AT2G28085	AL4G22080
AT3G52480	AL5G33190
AT2G40220	AL4G37940
AT4G26220	AL7G26750
AT1G34430	AL1G48990
AT1G10320	AL1G21050
AT5G48840	AL8G22020
AT5G49555	AL8G23350
AT1G32200	AL1G46330
AT2G20960	AL4G10090
AT4G27380	AL7G25420
AT1G33265	AL1G47660
AT1G30820	AL1G45000
AT4G37390	AL7G13440
AT4G36260	AL7G14770
AT4G16330	AL7G38720
AT1G72480	AL2G32170
AT5G61320	AL8G37980
AT1G51700	AL1G59640
AT1G20190	AL1G33030
AT4G39870	AL7G12110
AT1G50640	AL1G58310
AT1G22240	AL1G35692
AT2G28090	AL4G22070
AT5G46910	AL8G11370
AT2G40230	AL4G37950
AT4G13180	AL9U10860
AT2G04430	AL3G42070
AT5G51690	AL8G25940
AT2G20950	AL4G10080
AT5G09790	AL6G20190
AT4G10310	AL6G44160
AT2G30890	AL283U10010
AT5G45910	AL8G12630
AT2G28100	AL4G22060
AT4G36360	AL7G14720
AT5G20630	AL6G32170
AT1G52380	AL1G60630
AT5G08510	AL6G19190
AT1G20230	AL1G33080
AT5G61270	AL8G37930
AT2G40240	AL4G37960
AT5G60010	AL8G36600
AT2G20940	AL4G10070
AT3G25265	AL877U10030
AT5G40595	AL6G45480
AT5G51700	AL8G25950
AT5G50400	AL8G24620
AT1G50690	AL1G58370
AT2G28105	AL4G22050
AT5G46970	AL8G11310
AT2G28840	AL4G23380
AT3G63440	AL5G46300
AT1G72500	AL2G32190
AT5G20635	AL6G32180
AT5G08505	AL6G19180
AT4G36380	AL7G14710
AT2G39300	AL4G36640
AT1G49650	AL1G57040
AT5G61260	AL8G37920
AT2G40250	AL4G37970
AT1G20240	AL1G33090
AT3G53560	AL5G34490
AT5G50410	AL8G24630
AT1G32240	AL1G46380
AT2G40260	AL4G37980
AT2G22080	AL4G11390
AT2G20930	AL4G10060
AT4G26240	AL7G26720
AT5G22460	AL6G33480
AT5G20610	AL6G32150
AT2G47730	AL4G47300
AT1G51745	AL1G59690
AT1G20220	AL1G33060
AT1G50680	AL1G58360
AT5G61290	AL8G37950
AT3G63450	AL5G46310
AT2G28110	AL4G22040
AT2G28830	AL4G23370
AT4G37410	AL7G13410
AT4G36290	AL7G14740
AT4G11260	AL6G45470
AT4G13150	AL9U10890
AT5G09770	AL6G20170
AT2G38280	AL4G35320
AT1G49640	AL1G57030
AT5G45900	AL8G12650
AT1G32230	AL1G46370
AT2G20921	AL4G10050
AT2G22070	AL4G11380
AT5G09780	AL6G20180
AT2G40711	AL3G54080
AT3G42800	AL5G21160
AT5G51710	AL8G25970
AT3G44340	AL5G22490
AT1G10350	AL1G21090
AT2G30900	AL283U10020
AT5G61280	AL8G37940
AT2G28815	AL4G23360
AT1G51740	AL1G59680
AT1G20225	AL1G33070
AT2G28120	AL4G22030
AT3G63460	AL5G46320
AT4G37420	AL7G13400
AT4G10300	AL6G44130
AT4G36350	AL7G14730
AT4G11240	AL6G45460
AT1G52400	AL1G60660
AT5G22470	AL6G33490
AT4G12000	AL6G46790
AT1G49630	AL1G57020
AT5G45890	AL8G12660
AT3G53550	AL5G34470
AT5G46940	AL8G11330
AT5G60020	AL8G36610
AT3G53540	AL5G34460
AT1G65220	AL2G20220
AT3G52470	AL5G33130
AT3G44330	AL5G22480
AT1G73730	AL2G33530
AT1G74990	AL2G34870
AT3G63470	AL5G46330
AT3G42850	AL5G21150
AT4G36240	AL7G14800
AT2G01500	AL5G10490
AT3G54710	AL5G35790
ATCG00510	AL2G21540
AT3G53530	AL5G34450
AT5G60000	AL8G36590
AT1G73720	AL2G33520
AT1G75000	AL2G34880
AT3G62260	AL5G45010
AT3G63480	AL5G46340
AT1G49670	AL1G57080
AT3G42860	AL5G21140
AT1G64140	AL2G10890
AT3G44326	AL5G22470
AT3G53520	AL5G34440
AT1G65240	AL2G20240
AT3G52460	AL5G33110
AT3G54690	AL5G35770
AT2G01480	AL5G10470
AT5G01340	AL6G10800
AT4G26170	AL7G26800
AT1G72530	AL2G32220
AT3G63490	AL5G46350
AT1G73740	AL2G33550
AT1G49660	AL1G57070
AT3G62270	AL5G45020
AT1G74960	AL2G34850
AT3G44320	AL5G22460
AT3G45230	AL5G23790
AT3G54680	AL5G35760
AT3G53510	AL5G34430
AT1G65230	AL2G20230
AT2G01490	AL5G10480
AT3G52450	AL5G33100
AT1G72520	AL2G32210
AT1G30825	AL1G45080
AT3G62280	AL5G45030
AT3G63500	AL5G46360
AT3G42880	AL5G21120
AT1G74970	AL2G34860
AT3G44310	AL5G22450
AT1G50700	AL1G58390
AT3G54670	AL5G35750
AT5G49480	AL8G23240
AT1G64860	AL2G19270
AT3G53500	AL5G34420
AT2G02510	AL5G11780
AT3G63510	AL5G46370
AT1G72550	AL2G32240
AT1G73760	AL2G33570
AT5G59990	AL8G36560
AT5G58900	AL8G35230
AT5G61230	AL8G37890
AT5G45940	AL8G12590
AT5G47020	AL8G11260
AT4G13195	AL9U10830
AT1G65260	AL2G20260
AT1G64850	AL2G19260
AT2G02515	AL5G11790
AT3G54660	AL5G35740
AT3G53490	AL5G34410
AT3G63520	AL5G46380
AT1G72540	AL2G32230
AT1G73750	AL2G33560
AT5G58890	AL8G35220
AT5G61220	AL8G37880
AT5G59980	AL8G36550
AT3G45220	AL5G23760
AT5G47010	AL8G11270
AT4G13190	AL9U10840
AT2G01450	AL5G10430
AT2G02498	AL5G11760
AT3G53480	AL5G34400
AT5G49510	AL8G23260
AT3G54650	AL5G35730
AT5G50380	AL8G24590
AT3G63530	AL5G46390
AT1G75010	AL2G34890
AT3G45210	AL5G23750
AT1G72570	AL2G32260
AT1G73780	AL2G33590
AT3G44290	AL5G22420
AT5G58920	AL8G35250
AT5G47000	AL8G11280
AT3G54640	AL5G35720
AT2G02500	AL5G11770
AT5G49520	AL8G23270
AT3G62310	AL5G45070
AT3G10525	AL3G21910
AT1G72560	AL2G32250
AT1G73770	AL2G33580
AT5G58910	AL8G35240
AT3G44280	AL5G22410
AT5G22480	AL6G33500
AT5G23550	AL6G34830
AT2G01430	AL5G10410
AT2G02470	AL5G11740
AT3G54630	AL5G35710
AT1G65690	AL2G22800
AT5G01305	AL6G10860
AT4G12020	AL6G46820
AT3G45200	AL5G23730
AT2G47710	AL4G47280
AT1G64190	AL2G10820
AT3G20210	AL3G33910
AT2G02480	AL5G11750
AT5G22500	AL6G33510
AT2G01440	AL5G10420
AT3G08620	AL3G19610
AT3G54620	AL5G35700
AT5G23570	AL6G34840
AT3G09410	AL3G20600
AT3G10530	AL3G21930
AT4G12010	AL6G46810
AT5G09800	AL6G20200
AT3G45190	AL5G23720
AT1G74920	AL2G34800
AT2G22960	AL4G12610
AT3G20200	AL3G33900
AT3G08630	AL3G19620
AT5G23535	AL6G34810
AT2G23900	AL4G13930
AT2G30942	AL4G25910
AT2G14210	AL3G45910
AT5G01290	AL6G10880
AT3G20230	AL3G33930
AT5G12040	AL6G22830
AT5G10940	AL6G21500
AT1G64180	AL2G10840
AT2G22950	AL4G12600
AT3G19220	AL3G32600
AT5G23540	AL6G34820
AT3G09440	AL3G20620
AT3G23860	AL3G21950
AT3G07070	AL3G18300
AT2G02450	AL5G11730
AT5G40750	AL4G25900
AT3G30305	AL3G45900
AT5G01300	AL6G10870
AT5G12050	AL6G22840
AT3G45170	AL5G23700
AT3G20220	AL3G33920
AT3G09450	AL3G20630
AT3G10540	AL3G21960
AT2G14255	AL3G45930
AT1G65710	AL2G22840
AT3G08640	AL3G19640
AT2G23890	AL4G13910
AT4G18220	AL7G36190
AT1G02380	AL1G11730
AT5G12020	AL6G22810
AT1G64160	AL2G10860
AT3G20250	AL3G33950
AT1G74940	AL2G34830
AT2G14247	AL3G45920
AT5G23530	AL6G34800
AT3G09455	AL3G20640
AT3G10550	AL3G21970
AT1G65700	AL2G22830
AT5G41270	AL7G48180
AT3G08650	AL3G19650
AT5G01330	AL6G10810
AT3G07090	AL3G18320
AT1G02370	AL1G11720
AT1G22250	AL1G35710
AT5G12030	AL6G22820
AT3G20240	AL3G33940
AT1G74950	AL2G34840
AT1G64170	AL2G10850
AT1G11320	AL1G22400
AT1G12400	AL1G23730
AT4G28395	AL7G24190
AT3G06145	AL3G17000
AT3G09470	AL3G20650
AT5G41310	AL7G48150
ATCG00500	AL2G21530
AT5G40390	AL7G49480
AT1G65730	AL2G22860
AT3G08660	AL3G19660
AT3G07100	AL3G18330
AT1G73710	AL2G33510
AT4G18240	AL7G36170
AT1G02400	AL1G11750
AT1G01910	AL1G10420
AT5G39820	AL7G50470
AT3G19240	AL3G32640
AT1G64150	AL2G10880
AT2G14260	AL3G45940
AT5G01310	AL6G10830
AT3G06150	AL3G17010
AT1G65720	AL2G22850
AT3G08670	AL3G19670
AT3G09480	AL3G20660
AT3G10560	AL3G21990
AT1G73700	AL2G33500
AT4G18230	AL7G36180
AT1G64820	AL2G19200
AT1G02390	AL1G11740
AT1G01920	AL1G10410
AT3G20260	AL3G33960
AT1G74930	AL2G34820
AT5G12010	AL6G22800
AT1G12380	AL1G23710
AT3G06260	AL3G17140
AT3G50930	AL113U10020
AT2G10950	AL3G44760
AT2G05910	AL3G43430
AT3G07200	AL3G18470
AT1G27670	AL1G41190
AT2G30530	AL4G25410
AT2G31480	AL4G26740
AT1G56600	AL1G66490
AT3G16350	AL3G29120
AT3G19380	AL3G32780
AT3G18220	AL3G31450
AT3G17140	AL3G30120
AT3G56010	AL5G37290
AT2G39850	AL4G37400
AT2G22560	AL4G12100
AT5G47455	AL8G10530
AT2G24360	AL4G14750
AT2G23445	AL4G13420
AT2G10940	AL3G44750
AT3G07210	AL3G18480
AT2G30520	AL4G25400
AT1G27660	AL1G41180
AT5G49900	AL8G23850
AT3G17130	AL3G30110
AT3G19370	AL3G32770
AT5G59380	AL8G35820
AT1G47980	AL1G54490
AT3G56000	AL5G37280
AT2G39851	AL4G37410
AT5G49910	AL8G23860
AT2G04450	AL3G42120
AT2G23440	AL4G13410
AT1G73150	AL2G32900
AT2G24350	AL4G14744
AT1G27650	AL1G41170
AT3G46460	AL5G25290
AT2G31450	AL4G26720
AT1G16022	AL1G28190
AT3G06270	AL3G17160
AT5G48390	AL8G21200
AT3G17152	AL3G30140
AT1G47970	AL1G54480
AT3G16360	AL3G29140
AT5G58370	AL8G34520
AT3G55990	AL5G37270
AT2G39855	AL4G37420
AT2G04440	AL3G42110
AT2G40815	AL4G38760
AT5G49920	AL8G23870
AT2G10970	AL3G44770
AT2G31440	AL4G26710
AT1G27630	AL1G41160
AT3G06280	AL3G17170
AT3G46450	AL5G25280
AT3G18230	AL3G31460
AT3G17150	AL3G30130
AT3G16370	AL3G29150
AT2G38800	AL4G36100
AT3G57100	AL5G38590
AT3G55980	AL5G37260
AT2G39870	AL4G37440
AT2G38810	AL4G36110
AT2G40820	AL4G38770
AT1G73165	AL2G32920
AT5G49830	AL8G23800
AT3G18260	AL3G31490
AT3G17160	AL3G30160
AT1G56560	AL1G66450
AT3G46440	AL5G25270
AT3G06290	AL3G17180
AT2G20875	AL3G54130
AT3G55970	AL5G37250
AT2G03510	AL5G13280
AT3G57090	AL5G38580
AT3G16380	AL3G29160
AT2G04480	AL3G42130
AT2G40830	AL4G38780
AT2G38820	AL4G36120
AT2G39880	AL4G37450
AT1G73160	AL2G32910
AT3G06300	AL3G17190
AT1G56570	AL1G66460
ATCG00190	AL2G20930
AT3G59010	AL5G40890
AT3G18250	AL3G31480
AT1G54710	AL1G65130
AT5G49840	AL8G23810
AT3G47400	AL5G26590
AT3G17155	AL3G30150
AT3G57080	AL5G38570
AT3G55960	AL5G37240
AT2G11000	AL3G44790
AT2G03520	AL5G13290
AT2G38823	AL4G36130
AT1G72000	AL2G31615
AT2G40840	AL4G38790
ATCG00140	AL2G20960
AT1G62270	AL3G30180
AT3G47390	AL5G26580
AT1G73177	AL2G32940
AT1G56580	AL1G66470
AT1G54740	AL1G65140
AT1G65130	AL2G19970
AT5G49880	AL8G23820
AT3G58190	AL5G39890
AT3G57070	AL5G38560
AT3G25930	AL5G14590
AT2G03500	AL5G13260
AT5G47470	AL8G10510
AT2G38830	AL4G36140
AT2G39890	AL4G37470
AT1G71990	AL2G31600
ATCG00160	AL2G20950
AT3G47380	AL5G26570
AT1G73170	AL2G32930
AT3G17170	AL3G30170
AT5G49070	AL8G22500
AT5G49890	AL8G23830
AT1G56590	AL1G66480
AT2G20870	AL3G54120
AT3G57062	AL5G38550
AT5G59360	AL8G35800
AT2G03505	AL5G13270
AT3G55940	AL5G37220
AT2G04520	AL3G42150
AT5G47460	AL8G10520
AT1G21990	AL1G53180
AT5G66290	AL8G45230
AT4G32660	AL7G19090
AT5G48430	AL8G21260
AT4G00755	AL6G52700
AT3G48480	AL5G27890
AT5G04760	AL6G14420
AT4G21850	AL7G32060
AT2G20900	AL3G54170
AT5G05840	AL6G15750
AT4G20760	AL7G33390
AT2G30600	AL4G25490
AT5G57280	AL8G33250
AT3G25910	AL5G14570
AT2G03480	AL5G13240
AT3G57060	AL5G38540
AT5G35200	AL7G44050
AT5G16730	AL6G27740
AT5G15550	AL6G26410
AT2G04540	AL3G42180
AT5G66300	AL8G45220
AT3G57050	AL5G38530
AT5G48440	AL8G21270
AT3G55920	AL5G37200
AT3G48470	AL5G27880
AT5G26731	AL6G38400
AT3G17180	AL3G30190
AT5G04750	AL6G14410
AT4G20770	AL7G33380
AT5G05830	AL6G15740
AT4G21860	AL7G32050
AT5G57270	AL8G33240
AT2G30590	AL4G25480
AT5G58410	AL8G34570
AT3G25920	AL5G14580
AT5G28690	AL6G40710
AT5G16740	AL6G27750
AT5G15560	AL6G26420
AT2G04530	AL3G42170
AT2G22620	AL4G12160
AT3G58160	AL5G39850
AT3G57040	AL5G38520
AT3G25900	AL5G14550
AT5G66270	AL8G45250
AT2G03460	AL5G13220
AT3G48460	AL5G27870
AT5G04780	AL6G14440
AT2G20880	AL3G54150
AT5G05860	AL6G15770
AT2G30580	AL4G25470
AT3G46310	AL5G25210
AT5G57300	AL8G33270
AT3G47370	AL5G26540
AT3G26900	AL5G15880
AT5G16715	AL6G27720
AT5G28680	AL6G40700
AT2G23510	AL4G13490
AT5G35180	AL7G44030
AT4G31875	AL7G20090
AT2G22610	AL4G12150
AT5G48450	AL8G21290
AT2G03470	AL5G13230
AT5G66280	AL8G45240
AT5G05850	AL6G15760
AT5G04770	AL6G14430
AT2G20890	AL3G54160
AT2G30575	AL4G25460
AT3G48450	AL5G27860
AT3G46300	AL5G25200
AT5G57290	AL8G33260
AT5G15540	AL6G26400
AT2G04550	AL3G42190
AT3G26910	AL5G15890
AT3G25905	AL5G14560
AT5G16720	AL6G27730
AT2G22600	AL4G12140
AT5G48400	AL8G21220
AT5G49930	AL8G23880
AT3G58140	AL5G39830
AT3G57030	AL5G38500
AT4G21880	AL7G32020
AT5G05810	AL6G15710
AT4G20800	AL7G33350
AT4G32690	AL7G19050
AT4G19430	AL7G34680
AT1G08390	AL1G18800
AT2G30570	AL4G25450
AT5G57240	AL8G33210
AT2G31530	AL4G26780
AT5G58380	AL8G34540
AT5G59400	AL8G35870
AT3G48440	AL5G27850
AT5G35170	AL7G44010
AT5G16700	AL6G27700
AT5G37790	AL7G46670
AT4G30770	AL7G21370
AT5G48410	AL8G21230
AT3G58990	AL5G40810
AT5G49940	AL8G23890
AT2G03450	AL5G13210
AT3G25890	AL5G14542
AT3G26890	AL5G15870
AT5G05800	AL6G15700
AT4G32700	AL7G19040
AT4G19440	AL7G34670
AT2G30560	AL4G25440
AT2G31510	AL4G26770
AT5G58375	AL8G34530
AT5G47450	AL8G10580
AT5G16710	AL6G27710
AT4G30780	AL7G21360
AT5G57230	AL8G33200
AT2G23470	AL4G13460
AT3G58120	AL5G39810
AT3G25870	AL5G14510
AT5G66310	AL8G45210
AT4G32670	AL7G19070
AT3G26870	AL5G15840
AT5G04740	AL6G14400
AT4G21865	AL7G32040
AT4G20780	AL7G33370
AT2G30550	AL4G25430
AT5G57260	AL8G33230
AT2G31500	AL4G26760
AT1G08410	AL1G18820
AT5G47440	AL8G10590
AT3G48430	AL5G27830
AT5G59420	AL8G35890
AT3G42473	AL7G45320
AT5G41430	AL7G47980
AT2G24390	AL4G14780
AT4G31880	AL7G20060
AT2G23460	AL4G13450
AT3G58110	AL5G39800
AT4G32680	AL7G19060
AT5G48420	AL8G21250
AT5G66320	AL8G45200
AT3G26880	AL5G15850
AT3G25882	AL5G14520
AT5G05820	AL6G15720
AT4G20790	AL7G33360
AT4G21870	AL7G32030
AT4G19420	AL7G34690
AT2G30540	AL4G25420
AT2G31490	AL4G26750
AT1G08400	AL1G18810
AT3G48425	AL5G27820
AT5G59410	AL8G35880
AT5G57250	AL8G33220
AT5G35160	AL7G44000
AT4G31890	AL7G20050
AT2G22570	AL4G12110
AT4G30760	AL7G21380
AT2G24370	AL4G14770
AT3G26850	AL5G15820
AT4G00680	AL6G52780
AT1G17260	AL1G29500
AT1G80460	AL2G41040
AT4G01860	AL6G51450
AT5G15640	AL6G26490
AT5G14430	AL6G25160
AT4G20440	AL7G33430
AT4G02810	AL6G50120
AT4G32630	AL7G19130
AT1G19240	AL1G31820
AT5G03660	AL6G13170
AT1G07360	AL1G17510
AT1G08430	AL1G18840
AT5G25380	AL6G37140
AT1G69010	AL2G28060
AT4G31860	AL7G20120
AT4G30670	AL7G21450
AT5G37850	AL7G46750
AT5G14440	AL6G25170
AT1G80450	AL2G41050
AT3G25860	AL5G14500
AT4G00700	AL6G52770
AT4G29620	AL7G22770
AT4G05497	AL6G49120
AT4G32640	AL7G19120
AT4G20450	AL7G33420
AT4G02820	AL6G50110
AT3G48410	AL5G27800
AT5G26710	AL6G38480
AT5G03650	AL6G13160
AT5G04830	AL6G14490
AT1G70890	AL2G30370
AT1G08420	AL1G18830
AT5G28770	AL6G40790
AT4G38905	AL7G10790
AT4G30680	AL7G21440
AT5G66350	AL8G45180
AT5G37860	AL7G46760
AT3G26840	AL5G15800
AT5G15610	AL6G26470
AT1G19220	AL1G31800
AT5G14420	AL6G25140
AT4G02830	AL6G50100
AT4G19380	AL7G34780
AT4G32610	AL7G19150
AT4G00710	AL6G52760
AT4G01870	AL6G51430
AT1G69030	AL2G28080
AT5G28750	AL6G40780
AT1G07380	AL1G17530
AT5G26730	AL6G38450
AT5G25390	AL6G37120
AT1G08450	AL1G18860
AT5G03680	AL6G13190
AT5G37830	AL7G46730
AT4G31840	AL7G20140
AT5G15630	AL6G26480
AT1G19230	AL1G31810
AT4G29590	AL7G22790
AT4G21820	AL7G32110
AT4G19390	AL7G34770
AT4G20430	AL7G33440
AT4G00720	AL6G52750
AT4G01880	AL6G51420
AT4G32620	AL7G19140
AT1G69020	AL2G28070
AT1G07370	AL1G17520
AT1G08440	AL1G18850
AT5G26720	AL6G38460
AT5G03670	AL6G13180
AT5G27290	AL6G39790
AT5G37840	AL7G46740
AT4G05490	AL6G49100
AT4G31850	AL7G20130
AT4G30662	AL7G21460
AT5G28740	AL6G40770
AT1G47990	AL1G54500
AT5G66380	AL8G45150
AT1G17285	AL1G29540
AT1G80420	AL2G41080
AT1G16040	AL1G28210
AT4G29650	AL7G22740
AT5G25370	AL6G37100
AT5G03620	AL6G13130
AT1G18160	AL1G30530
AT4G01883	AL6G51410
AT5G04810	AL6G14460
AT1G06230	AL1G16220
AT5G57200	AL8G33170
AT1G07390	AL1G17550
AT4G38880	AL7G10760
AT1G08460	AL1G18880
AT5G37810	AL7G46710
AT5G15600	AL6G26460
AT5G14410	AL6G25130
AT1G16060	AL1G28220
AT5G66390	AL8G45140
AT1G17290	AL1G29550
AT1G80410	AL2G41090
AT4G01890	AL6G51400
AT5G25400	AL6G37110
AT1G18170	AL1G30540
AT5G03610	AL6G13120
AT4G00740	AL6G52730
AT5G05870	AL6G15780
AT1G69040	AL2G28090
AT4G30720	AL7G21400
AT1G06225	AL1G16210
AT5G37820	AL7G46720
AT2G29470	AL4G24070
AT5G48385	AL8G21190
AT4G38870	AL7G10750
AT1G80440	AL2G41060
AT1G17270	AL1G29520
AT2G22540	AL4G12080
AT4G20460	AL7G33410
AT4G32650	AL7G19110
AT4G19400	AL7G34740
AT4G00750	AL6G52720
AT5G27330	AL6G39740
