AT1G56060	CARHR045780
AT1G22070	CARHR022430
AT1G64770	CARHR287400
AT4G30580	CARHR238450
AT4G29330	CARHR237120
AT4G31850	CARHR239780
AT1G11490	CARHR011760
AT1G35620	CARHR034420
AT5G62910	CARHR276720
AT1G11480	CARHR011750
AT1G43980	CARHR035750
AT1G09460	CARHR009440
AT4G01560	CARHR250110
AT4G01150	CARHR249130
AT1G23320	CARHR023770
AT4G18370	CARHR225140
AT5G36930	CARHR201190
AT1G20650	CARHR021110
AT5G51845	CARHR264730
AT1G22050	CARHR022400
AT4G32770	CARHR240760
AT1G79030	CARHR072700
AT4G29360	CARHR237150
AT4G03020	CARHR251410
AT4G01200	CARHR249100
AT5G62900	CARHR276710
AT1G08290	CARHR008140
AT1G09500	CARHR009470
AT4G04790	CARHR252740
AT5G20240	CARHR192590
AT1G20640	CARHR021100
AT5G51840	CARHR264720
AT1G22060	CARHR022410
AT4G32780	CARHR240770
AT1G11500	CARHR011780
AT4G30600	CARHR238470
AT5G41190	CARHR213190
AT1G43910	CARHR035720
AT4G29350	CARHR237140
AT1G10320	CARHR010450
AT1G79050	CARHR072710
AT4G03030	CARHR251420
AT1G08280	CARHR008130
AT4G04780	CARHR252750
AT5G62890	CARHR276700
AT5G22290	CARHR191270
AT4G19670	CARHR226490
AT5G38710	CARHR288760
AT4G01190	CARHR249110
AT1G23300	CARHR023750
AT4G18375	CARHR225160
AT4G31830	CARHR239750
AT4G30530	CARHR238420
AT5G38210	CARHR214450
AT4G32750	CARHR240740
AT5G51830	CARHR264710
AT5G37310	CARHR215780
AT1G10350	CARHR010480
AT4G04850	CARHR252720
AT1G66430	CARHR058420
AT4G18340	CARHR225110
AT4G19640	CARHR226440
AT1G44100	CARHR035780
AT5G11990	CARHR201140
AT1G09520	CARHR009490
AT5G10820	CARHR202470
AT1G22120	CARHR022470
AT4G21190	CARHR227770
AT1G68070	CARHR060730
AT4G30520	CARHR238410
AT1G20670	CARHR021120
AT4G31820	CARHR239740
AT1G64510	CARHR046440
AT5G51820	CARHR264700
AT4G32760	CARHR240750
AT1G10330	CARHR010470
AT4G18335	CARHR225100
AT1G33760	CARHR033130
AT1G35670	CARHR034460
AT4G21180	CARHR227760
AT1G44110	CARHR035790
AT1G09510	CARHR009480
AT4G04800	CARHR252730
AT4G03010	CARHR251400
AT1G22130	CARHR022480
AT5G11980	CARHR201150
AT5G10810	CARHR202480
AT1G68060	CARHR060720
AT1G63610	CARHR047740
AT4G32720	CARHR240720
AT4G29310	CARHR237110
AT1G20700	CARHR021150
AT4G31860	CARHR239770
AT4G30560	CARHR238440
AT1G33610	CARHR033100
AT4G04870	CARHR252700
AT1G44000	CARHR035760
AT1G67260	CARHR059730
AT5G10800	CARHR202490
AT4G21200	CARHR227790
AT5G11970	CARHR201160
AT1G23330	CARHR023780
AT4G18360	CARHR225130
AT1G68050	CARHR060710
AT4G19650	CARHR226460
AT1G64530	CARHR046420
AT4G32730	CARHR240730
AT4G30550	CARHR238430
AT1G63600	CARHR047750
AT2G38310	CARHR132900
AT5G38200	CARHR214480
AT1G10360	CARHR010490
AT4G31840	CARHR239760
AT1G33700	CARHR033110
AT4G04860	CARHR252710
AT1G35660	CARHR034440
AT1G44090	CARHR035770
AT4G18350	CARHR225120
AT5G11960	CARHR201170
AT4G21192	CARHR227780
AT1G68040	CARHR060700
AT1G22110	CARHR022460
AT4G19645	CARHR226450
AT1G75710	CARHR069110
AT3G20860	CARHR096730
AT4G32714	CARHR240700
AT1G79090	CARHR072760
AT1G77950	CARHR071430
AT1G76550	CARHR070100
AT5G37070	CARHR132910
AT4G31800	CARHR239710
AT1G55475	CARHR045140
AT3G10260	CARHR084740
AT3G09050	CARHR083410
AT1G68100	CARHR060770
AT5G09620	CARHR203760
AT1G67310	CARHR059790
AT1G64890	CARHR034490
AT4G21150	CARHR227730
AT1G76560	CARHR070110
AT1G77980	CARHR071440
AT4G32717	CARHR240710
AT1G55480	CARHR045150
AT1G20710	CARHR021160
AT1G79110	CARHR072770
AT1G64450	CARHR046480
AT1G75700	CARHR069100
AT3G09060	CARHR083420
AT4G21140	CARHR227720
AT3G10270	CARHR084750
AT1G68090	CARHR060760
AT1G33770	CARHR033170
AT2G35150	CARHR129290
AT5G09610	CARHR203770
AT1G65470	CARHR057120
AT3G19895	CARHR095420
AT4G31810	CARHR239730
AT4G30510	CARHR238400
AT1G76570	CARHR070120
AT1G79120	CARHR072780
AT1G77990	CARHR071450
AT1G64500	CARHR046450
AT3G20870	CARHR096750
AT2G37090	CARHR131600
AT2G35120	CARHR129280
AT2G05635	CARHR021190
AT1G65450	CARHR057110
AT3G09070	CARHR083430
AT3G07450	CARHR082100
AT5G10830	CARHR202450
AT1G35680	CARHR034470
AT1G33750	CARHR033140
AT4G21170	CARHR227750
AT1G66520	CARHR058440
AT1G67290	CARHR059770
AT1G22140	CARHR022490
AT4G31805	CARHR239720
AT3G20865	CARHR096740
AT1G78000	CARHR071460
AT1G64480	CARHR046460
AT5G38220	CARHR214440
AT5G37340	CARHR215770
AT1G76580	CARHR070130
AT2G37100	CARHR131610
AT1G79130	CARHR072790
AT2G35130	CARHR129270
AT1G68080	CARHR060740
AT3G07460	CARHR082110
AT1G66460	CARHR058430
AT5G12000	CARHR201130
AT4G21160	CARHR227740
AT1G67280	CARHR059760
AT3G10300	CARHR084770
AT2G37110	CARHR131620
AT2G35110	CARHR129260
AT1G55510	CARHR045180
AT1G79040	CARHR072720
AT5G09670	CARHR203720
AT3G58500	CARHR168900
AT4G38120	CARHR143600
AT2G13985	CARHR117280
AT3G10210	CARHR084700
AT2G37120	CARHR131630
AT1G79060	CARHR072730
AT2G38340	CARHR132960
AT1G75730	CARHR069140
AT3G48187	CARHR156910
AT1G77930	CARHR071400
AT2G01060	CARHR143610
AT5G10890	CARHR202400
AT5G09660	CARHR203730
AT1G66510	CARHR058490
AT3G10220	CARHR084710
AT3G48195	CARHR156940
AT5G37370	CARHR215720
AT1G79070	CARHR072740
AT1G77932	CARHR071410
AT1G75720	CARHR069130
AT3G46970	CARHR155610
AT3G20840	CARHR096710
AT2G37130	CARHR131640
AT2G38360	CARHR132970
AT4G33690	CARHR105270
AT1G64440	CARHR046490
AT5G10870	CARHR202410
AT4G21120	CARHR227710
AT3G10230	CARHR084720
AT3G58520	CARHR168920
AT5G09650	CARHR203740
AT2G01070	CARHR143620
AT2G02280	CARHR144950
AT1G68120	CARHR060790
AT1G33780	CARHR033180
AT2G38370	CARHR132980
AT1G77940	CARHR071420
AT1G75717	CARHR069120
AT5G37360	CARHR215730
AT4G15870	CARHR131650
AT2G36080	CARHR130320
AT3G46950	CARHR155600
AT1G79080	CARHR072750
AT2G14260	CARHR105280
AT3G20830	CARHR096700
AT2G01080	CARHR143630
AT5G10860	CARHR202420
AT3G09040	CARHR083400
AT4G21110	CARHR227700
AT3G10250	CARHR084730
AT3G58510	CARHR168910
AT2G46950	CARHR142300
AT1G68110	CARHR060780
AT5G09630	CARHR203750
AT2G26680	CARHR118580
AT1G56418	CARHR132990
AT2G37150	CARHR131660
AT5G22440	CARHR155630
AT2G36100	CARHR130330
AT3G09032	CARHR083380
AT3G07410	CARHR082050
AT2G02400	CARHR144980
AT2G35050	CARHR129220
AT3G57410	CARHR167610
AT2G01100	CARHR143650
AT1G75680	CARHR069070
AT3G58560	CARHR168950
AT3G58550	CARHR168940
AT3G07400	CARHR082040
AT5G19090	CARHR193900
AT3G19850	CARHR095370
AT3G18660	CARHR094040
AT2G37160	CARHR131670
AT2G26670	CARHR118570
AT2G36090	CARHR130340
AT3G48210	CARHR156970
AT3G46990	CARHR155640
AT3G48200	CARHR156950
AT3G46980	CARHR155620
AT3G18640	CARHR094020
AT5G42470	CARHR181930
AT5G43270	CARHR180600
AT3G09035	CARHR083390
AT3G07420	CARHR082060
AT2G28110	CARHR120880
AT1G75670	CARHR069060
AT2G35040	CARHR129210
AT2G02410	CARHR144990
AT2G01110	CARHR143660
AT3G58530	CARHR168930
AT5G19080	CARHR193910
AT2G28105	CARHR120870
AT1G65420	CARHR057080
AT3G19840	CARHR095360
AT2G36110	CARHR130350
AT3G48208	CARHR156960
AT3G57170	CARHR119890
AT2G35035	CARHR129200
AT1G04645	CARHR181900
AT3G07425	CARHR082070
AT2G16365	CARHR106560
AT2G01120	CARHR143670
AT1G75660	CARHR069050
AT3G58580	CARHR168970
AT2G17660	CARHR107890
AT2G46970	CARHR142340
AT3G56150	CARHR166300
AT5G07260	CARHR141010
AT3G56160	CARHR166310
AT2G45750	CARHR141000
AT3G57440	CARHR167640
AT2G28100	CARHR120860
AT3G19870	CARHR095390
AT1G76540	CARHR070090
AT3G47060	CARHR155660
AT5G43830	CARHR179610
AT3G18680	CARHR094060
AT2G36120	CARHR130360
AT2G26660	CARHR118550
AT2G27310	CARHR119880
AT2G19130	CARHR215810
AT1G75640	CARHR069040
AT2G46980	CARHR142350
AT3G58570	CARHR168960
AT3G57420	CARHR167620
AT3G57430	CARHR167630
AT3G19860	CARHR095380
AT1G65410	CARHR057060
AT5G35600	CARHR156980
AT5G37290	CARHR215800
AT3G18670	CARHR094050
AT2G36130	CARHR130370
AT2G26650	CARHR118540
AT5G43840	CARHR179600
AT1G77860	CARHR071350
AT3G20810	CARHR096650
AT1G76460	CARHR070020
AT3G19810	CARHR095320
AT2G01140	CARHR143690
AT3G58600	CARHR168990
AT4G08267	CARHR107870
AT2G46990	CARHR142360
AT3G07350	CARHR082000
AT3G55000	CARHR165000
AT5G19050	CARHR193940
AT2G26640	CARHR118530
AT3G56180	CARHR166330
AT3G08990	CARHR083330
AT3G11440	CARHR085990
AT3G10180	CARHR084660
AT2G36145	CARHR130380
AT3G47080	CARHR155680
AT5G53742	CARHR154350
AT5G20220	CARHR192610
AT3G19800	CARHR095310
AT3G29385	CARHR153020
AT2G14530	CARHR105220
AT5G60530	CARHR274190
AT3G22110	CARHR097970
AT3G20800	CARHR096640
AT1G76470	CARHR070030
AT1G77870	CARHR071360
AT2G47000	CARHR142370
AT3G58590	CARHR168980
AT2G45760	CARHR141040
AT2G17650	CARHR107880
AT5G43250	CARHR180640
AT2G26580	CARHR118520
AT2G28090	CARHR120830
AT3G56170	CARHR166320
AT3G57450	CARHR167650
AT2G27300	CARHR119850
AT3G10190	CARHR084670
AT3G09000	CARHR083340
AT3G07360	CARHR082010
AT3G47050	CARHR155670
AT5G20200	CARHR192620
AT5G19040	CARHR193950
AT5G42450	CARHR181940
AT5G44610	CARHR178330
AT5G43260	CARHR180610
AT3G29390	CARHR153030
AT1G76490	CARHR070040
AT5G43820	CARHR179660
AT1G77885	CARHR071370
AT1G75690	CARHR069090
AT5G60520	CARHR274180
AT3G10200	CARHR084690
AT2G45770	CARHR141050
AT2G28085	CARHR120820
AT3G55010	CARHR165020
AT5G19070	CARHR193920
AT2G26600	CARHR118510
AT3G09010	CARHR083350
AT3G56200	CARHR166350
AT3G10195	CARHR084680
AT4G02310	CARHR167680
AT3G07370	CARHR082020
AT1G77890	CARHR071380
AT3G46010	CARHR154370
AT3G20820	CARHR096680
AT2G14620	CARHR105200
AT3G18620	CARHR094000
AT1G76500	CARHR070050
AT3G19820	CARHR095330
AT2G47020	CARHR142390
AT3G09030	CARHR083370
AT2G45790	CARHR141060
AT2G27290	CARHR119830
AT5G19060	CARHR193930
AT2G28080	CARHR120810
AT2G26500	CARHR118500
AT3G55005	CARHR165010
AT3G09020	CARHR083360
AT3G07390	CARHR082030
AT1G77920	CARHR071390
AT1G76510	CARHR070060
AT5G20230	CARHR192600
AT5G43810	CARHR179680
AT2G45800	CARHR141070
AT4G01480	CARHR250190
AT5G60490	CARHR274160
AT5G43190	CARHR180670
AT5G22240	CARHR191320
AT5G20170	CARHR192650
AT5G24410	CARHR189010
AT5G39970	CARHR262180
AT5G19025	CARHR193980
AT2G16280	CARHR106510
AT5G43822	CARHR179670
AT3G29400	CARHR153060
AT2G45810	CARHR141080
AT5G23540	CARHR190000
AT5G22220	CARHR191330
AT5G20165	CARHR192660
AT3G56210	CARHR166360
AT3G57470	CARHR167690
AT5G24400	CARHR189020
AT3G46020	CARHR154380
AT5G19010	CARHR193990
AT5G44585	CARHR178370
AT2G17620	CARHR107810
AT2G45820	CARHR141090
AT4G01510	CARHR250170
AT5G61670	CARHR275470
AT5G43230	CARHR180650
AT5G20190	CARHR192630
AT3G55040	CARHR165060
AT3G56230	CARHR166390
AT5G38980	CARHR263490
AT4G01110	CARHR249180
AT5G19030	CARHR193960
AT5G22260	CARHR191300
AT4G01100	CARHR249190
AT5G43790	CARHR179690
AT3G29590	CARHR153080
AT4G01500	CARHR250180
AT5G24420	CARHR189000
AT5G22250	CARHR191310
AT5G20180	CARHR192640
AT3G55030	CARHR165050
AT5G19020	CARHR193970
AT5G39980	CARHR262150
AT1G23270	CARHR023710
AT3G42140	CARHR153090
AT5G61650	CARHR275450
AT5G60460	CARHR274120
AT1G11440	CARHR011720
AT5G22190	CARHR191360
AT5G20140	CARHR192690
AT3G55060	CARHR165080
AT3G18710	CARHR094080
AT4G18390	CARHR225190
AT4G01130	CARHR249160
AT5G24370	CARHR189050
AT5G39010	CARHR263470
AT1G09440	CARHR009410
AT1G23280	CARHR023720
AT5G60450	CARHR274110
AT5G62960	CARHR276770
AT5G60440	CARHR274100
AT5G23480	CARHR190040
AT1G11430	CARHR011710
AT5G22180	CARHR191370
AT4G01120	CARHR249170
AT4G18380	CARHR225180
AT3G55050	CARHR165070
AT5G24360	CARHR189060
AT1G09430	CARHR009400
AT5G51880	CARHR264790
AT3G18690	CARHR094070
AT1G57540	CARHR288700
AT4G04760	CARHR252790
AT4G29380	CARHR237190
AT5G61630	CARHR275430
AT5G61620	CARHR275420
AT4G01550	CARHR250120
AT5G22210	CARHR191340
AT5G23530	CARHR190010
AT5G24390	CARHR189030
AT4G01140	CARHR249140
AT1G57550	CARHR288710
AT5G40000	CARHR262100
AT5G45230	CARHR177070
AT5G62940	CARHR276750
AT1G09450	CARHR009420
AT5G62930	CARHR276740
AT5G23520	CARHR190020
AT1G10980	CARHR011730
AT5G24380	CARHR189040
AT5G22200	CARHR191350
AT5G20150	CARHR192680
AT3G18715	CARHR094090
AT3G55070	CARHR165090
AT4G32680	CARHR240660
AT1G71830	CARHR290920
AT5G22360	CARHR191170
AT5G44710	CARHR178190
AT5G28237	CARHR011890
AT4G30440	CARHR238340
AT4G29260	CARHR237010
AT1G67325	CARHR059820
AT1G79150	CARHR072800
AT4G31770	CARHR239670
AT1G10417	CARHR010560
AT3G43910	CARHR035860
AT4G02940	CARHR251310
AT5G64030	CARHR277940
AT5G22370	CARHR191160
AT4G21105	CARHR227690
AT5G10900	CARHR202390
AT4G32690	CARHR240670
AT5G52980	CARHR265970
AT1G23450	CARHR023880
AT4G01320	CARHR249000
AT1G22200	CARHR022550
AT1G20760	CARHR021200
AT4G19560	CARHR226360
AT1G64430	CARHR046500
AT1G71850	CARHR290930
AT1G64400	CARHR046520
AT5G52970	CARHR265950
AT4G29240	CARHR237000
AT4G04890	CARHR252660
AT5G44720	CARHR178180
AT1G79160	CARHR072810
AT4G31760	CARHR239660
AT4G30430	CARHR238330
AT1G10410	CARHR010550
AT1G35710	CARHR034540
AT1G33810	CARHR033210
AT5G62820	CARHR276600
AT1G44191	CARHR035870
AT1G08350	CARHR008230
AT1G09580	CARHR009560
AT4G21100	CARHR227680
AT1G68130	CARHR060800
AT4G32700	CARHR240680
AT1G23460	CARHR023890
AT1G22210	CARHR022560
AT4G19550	CARHR226350
AT1G64405	CARHR046510
AT4G01310	CARHR249010
AT5G51750	CARHR264610
AT1G71820	CARHR290940
AT1G22170	CARHR022520
AT1G20810	CARHR021230
AT4G33880	CARHR241970
AT5G41270	CARHR213060
AT4G31790	CARHR239690
AT5G43280	CARHR180490
AT1G44160	CARHR035830
AT1G67320	CARHR059800
AT1G79180	CARHR072820
AT5G64000	CARHR277920
AT1G08390	CARHR008260
AT5G22390	CARHR191140
AT1G09610	CARHR009590
AT5G20370	CARHR192470
AT4G12300	CARHR253950
AT4G04910	CARHR252620
AT4G19590	CARHR226380
AT1G63570	CARHR047810
AT5G12050	CARHR201080
AT3G10320	CARHR084800
AT1G23420	CARHR023860
AT5G52960	CARHR265930
AT1G22180	CARHR022530
AT1G20780	CARHR021220
AT4G33890	CARHR241980
AT5G51740	CARHR264600
AT5G20350	CARHR192490
AT4G29270	CARHR237020
AT5G41260	CARHR213070
AT4G31780	CARHR239680
AT1G44170	CARHR035840
AT1G78050	CARHR071500
AT4G02930	CARHR251300
AT1G08370	CARHR008250
AT1G09600	CARHR009580
AT4G04900	CARHR252630
AT5G63990	CARHR277910
AT5G22380	CARHR191150
AT5G20360	CARHR192480
AT4G33905	CARHR241990
AT4G18253	CARHR225040
AT5G12040	CARHR201090
AT1G22190	CARHR022540
AT4G06599	CARHR287310
AT1G20770	CARHR021210
AT1G55535	CARHR045220
AT4G32650	CARHR240620
AT1G64385	CARHR046550
AT1G20823	CARHR021250
AT1G63490	CARHR047880
AT5G41320	CARHR213000
AT5G52950	CARHR265920
AT1G68170	CARHR060850
AT4G04940	CARHR252600
AT4G19530	CARHR226320
AT1G33880	CARHR033240
AT5G12100	CARHR201020
AT5G10940	CARHR202350
AT1G08400	CARHR008280
AT5G63980	CARHR277900
AT1G22240	CARHR022590
AT4G22150	CARHR228980
AT4G15562	CARHR289980
AT4G06598	CARHR287320
AT1G55540	CARHR045230
AT1G20816	CARHR021240
AT5G41315	CARHR213010
AT1G64380	CARHR046560
AT5G52920	CARHR265910
AT4G32660	CARHR240630
AT4G33870	CARHR241960
AT5G37400	CARHR215670
AT1G71810	CARHR290970
AT4G04920	CARHR252610
AT4G19520	CARHR226310
AT1G67330	CARHR059860
AT4G22140	CARHR228970
AT1G35780	CARHR034580
AT1G33930	CARHR033250
AT4G21060	CARHR227640
AT1G08380	CARHR008270
AT4G15563	CARHR289990
AT5G10930	CARHR202360
AT2G25950	CARHR287330
AT1G68160	CARHR060840
AT4G30420	CARHR238320
AT1G55520	CARHR045200
AT1G63520	CARHR047860
AT4G32630	CARHR240600
AT5G52910	CARHR265900
AT1G20840	CARHR021270
AT5G22350	CARHR191190
AT1G71800	CARHR290980
AT1G33811	CARHR033220
AT4G12340	CARHR253910
AT4G18250	CARHR225010
AT2G14060	CARHR035880
AT5G10920	CARHR202370
AT1G22220	CARHR022570
AT4G19540	CARHR226340
AT1G68150	CARHR060830
AT4G32640	CARHR240610
AT1G63500	CARHR047870
AT4G30410	CARHR238310
AT1G20830	CARHR021260
AT1G08410	CARHR008290
AT1G71790	CARHR290990
AT1G66470	CARHR058510
AT1G35720	CARHR034560
AT1G33870	CARHR033230
AT5G10910	CARHR202380
AT4G22160	CARHR228990
AT5G12080	CARHR201050
AT1G22230	CARHR022580
AT4G21070	CARHR227660
AT1G68140	CARHR060820
AT1G76660	CARHR070220
AT1G75810	CARHR069230
AT3G19990	CARHR095520
AT1G78090	CARHR071550
AT1G55560	CARHR045260
AT2G21820	CARHR072880
AT1G64355	CARHR046590
AT1G20860	CARHR021290
AT3G09190	CARHR083530
AT3G10380	CARHR084860
AT1G68200	CARHR060890
AT5G09760	CARHR203640
AT1G65540	CARHR057250
AT1G33910	CARHR033280
AT1G75800	CARHR069220
AT5G38290	CARHR214300
AT1G76670	CARHR070230
AT1G55570	CARHR045270
AT1G78100	CARHR071560
AT1G20850	CARHR021280
AT3G07540	CARHR082210
AT4G21020	CARHR227600
AT1G68190	CARHR060880
AT5G09750	CARHR203650
AT3G10390	CARHR084870
AT5G28442	CARHR057240
AT5G10970	CARHR202320
AT5G08200	CARHR204980
AT2G34010	CARHR128080
AT1G33900	CARHR033290
AT4G31720	CARHR239610
AT1G78110	CARHR071570
AT1G64370	CARHR046570
AT1G76700	CARHR070240
AT1G55546	CARHR045240
AT2G34000	CARHR128070
AT1G75790	CARHR069210
AT3G18800	CARHR094210
AT4G19510	CARHR226300
AT1G68185	CARHR060870
AT1G67350	CARHR059890
AT4G22130	CARHR228960
AT5G12120	CARHR201000
AT3G09210	CARHR083550
AT5G08190	CARHR204990
AT3G10400	CARHR084880
AT5G10960	CARHR202330
AT1G65520	CARHR057230
AT3G20000	CARHR095530
AT5G35700	CARHR216980
AT1G75780	CARHR069200
AT2G33990	CARHR128060
AT3G18790	CARHR094200
AT1G55550	CARHR045250
AT1G78120	CARHR071580
AT3G20970	CARHR096860
AT2G35240	CARHR129390
AT4G33810	CARHR241900
AT1G65510	CARHR057220
AT1G68180	CARHR060860
AT3G10405	CARHR084890
AT5G10950	CARHR202340
AT3G09220	CARHR083560
AT3G07550	CARHR082230
AT1G67340	CARHR059880
AT2G02140	CARHR144800
AT2G38240	CARHR132830
AT5G35732	CARHR216910
AT3G48070	CARHR156800
AT2G33980	CARHR128050
AT2G37020	CARHR131500
AT2G22650	CARHR104080
AT2G35215	CARHR129380
AT3G20930	CARHR096810
AT1G78060	CARHR071510
AT2G02150	CARHR144810
AT1G79200	CARHR072850
AT2G37025	CARHR131510
AT2G38250	CARHR132840
AT5G35730	CARHR216920
AT2G33880	CARHR128040
AT2G07680	CARHR104090
AT2G35210	CARHR129370
AT3G20920	CARHR096800
AT5G40050	CARHR203610
AT2G02148	CARHR144820
AT1G78070	CARHR071530
AT2G37030	CARHR131520
AT2G38270	CARHR132850
AT2G33870	CARHR128030
AT3G19970	CARHR095500
AT2G14900	CARHR105390
AT1G55580	CARHR045280
AT2G07560	CARHR104060
AT2G35200	CARHR129360
AT2G02160	CARHR144830
AT2G48100	CARHR143500
AT3G09150	CARHR083510
AT5G08230	CARHR204950
AT3G10360	CARHR084840
AT5G09790	CARHR203620
AT2G35940	CARHR130200
AT1G75820	CARHR069240
AT2G33855	CARHR128020
AT1G78080	CARHR071540
AT2G37035	CARHR131530
AT2G38280	CARHR132860
AT2G07690	CARHR104070
AT2G35190	CARHR129350
AT3G10370	CARHR084850
AT5G10990	CARHR202300
AT2G48110	CARHR143510
AT3G09180	CARHR083520
AT2G02170	CARHR144840
AT1G65560	CARHR057260
AT2G38290	CARHR132870
AT3G48110	CARHR156840
AT3G46890	CARHR155510
AT2G33860	CARHR128010
AT2G37040	CARHR131540
AT2G35950	CARHR130210
AT5G42570	CARHR181800
AT1G75770	CARHR069190
AT3G07520	CARHR082170
AT2G07340	CARHR104040
AT2G48130	CARHR143520
AT1G76630	CARHR070190
AT3G19960	CARHR095490
AT2G25420	CARHR116030
AT2G24580	CARHR117360
AT3G18770	CARHR094160
AT2G38300	CARHR132880
AT2G37050	CARHR131550
AT3G48120	CARHR156850
AT3G48100	CARHR156830
AT2G33850	CARHR128000
AT3G18750	CARHR094140
AT3G07525	CARHR082180
AT2G02180	CARHR144870
AT2G07360	CARHR104050
AT2G48150	CARHR143540
AT2G35170	CARHR129330
AT2G46850	CARHR142200
AT2G48140	CARHR143530
AT3G18760	CARHR094150
AT2G37060	CARHR131560
AT2G35980	CARHR130230
AT2G25430	CARHR116020
AT2G38320	CARHR132890
AT3G45870	CARHR154200
AT3G07530	CARHR082190
AT2G28140	CARHR120990
AT1G75760	CARHR069170
AT3G58460	CARHR168850
AT2G46870	CARHR142220
AT2G35160	CARHR129320
AT3G57320	CARHR167510
AT2G16440	CARHR106680
AT2G02220	CARHR144880
AT3G57330	CARHR167520
AT2G46860	CARHR142210
AT3G48150	CARHR156870
AT3G45880	CARHR154210
AT2G37070	CARHR131570
AT3G46870	CARHR155520
AT5G60410	CARHR274090
AT3G57300	CARHR167500
AT2G02230	CARHR144890
AT3G58450	CARHR168840
AT2G46880	CARHR142230
AT2G14170	CARHR105360
AT3G58440	CARHR168830
AT5G09680	CARHR203710
AT2G28130	CARHR120970
AT3G18773	CARHR094170
AT3G48140	CARHR156860
AT2G35990	CARHR130250
AT2G27385	CARHR119990
AT2G07170	CARHR104000
AT2G35155	CARHR129300
AT3G20890	CARHR096770
AT1G35550	CARHR274080
AT3G19910	CARHR095440
AT1G78010	CARHR071470
AT1G76590	CARHR070140
AT3G58480	CARHR168870
AT2G46890	CARHR142240
AT2G16405	CARHR106660
AT2G17705	CARHR107990
AT2G24590	CARHR117320
AT5G19130	CARHR193820
AT2G28120	CARHR120960
AT3G09080	CARHR083450
AT3G07470	CARHR082120
AT2G37080	CARHR131590
AT3G48170	CARHR156890
AT2G36000	CARHR130260
AT5G43910	CARHR179510
AT2G07180	CARHR104010
AT3G20880	CARHR096760
AT1G78020	CARHR071480
AT3G19900	CARHR095430
AT5G60400	CARHR274070
AT2G16430	CARHR106670
AT3G58470	CARHR168860
AT2G46900	CARHR142250
AT2G24610	CARHR117310
AT5G19120	CARHR193830
AT3G57340	CARHR167530
AT3G09085	CARHR083460
AT3G10310	CARHR084790
AT5G40010	CARHR262090
AT3G07480	CARHR082130
AT2G36010	CARHR130270
AT1G78040	CARHR071490
AT3G48160	CARHR156880
AT3G46920	CARHR155550
AT2G27380	CARHR119970
AT5G43920	CARHR179500
AT3G45890	CARHR154220
AT2G14247	CARHR105310
AT5G42560	CARHR181820
AT5G44680	CARHR178210
AT2G16390	CARHR106640
AT3G19930	CARHR095460
AT1G76600	CARHR070160
AT5G61600	CARHR275390
AT3G09100	CARHR083480
AT3G58490	CARHR168890
AT2G46910	CARHR142260
AT4G01570	CARHR250090
AT1G79830	CARHR143590
AT5G51200	CARHR118630
AT2G24630	CARHR117300
AT5G19150	CARHR193800
AT3G09090	CARHR083470
AT3G07490	CARHR082140
AT2G36020	CARHR130280
AT3G46940	CARHR155580
AT5G40020	CARHR262080
AT1G76610	CARHR070170
AT3G19940	CARHR095470
AT5G44700	CARHR178200
AT3G18730	CARHR094120
AT2G16400	CARHR106650
AT3G20898	CARHR096780
AT3G19920	CARHR095450
AT5G61590	CARHR275380
AT2G46915	CARHR142270
AT3G07510	CARHR082160
AT5G19140	CARHR193810
AT2G27370	CARHR119950
AT3G07500	CARHR082150
AT2G36026	CARHR130290
AT3G46930	CARHR155570
AT5G40030	CARHR262070
AT3G20910	CARHR096790
AT1G76620	CARHR070180
AT2G16380	CARHR106620
AT5G43870	CARHR179560
AT5G44650	CARHR178230
AT4G01220	CARHR249080
AT2G46930	CARHR142280
AT4G01600	CARHR250070
AT5G61580	CARHR275370
AT5G42480	CARHR181880
AT2G27350	CARHR119940
AT5G22340	CARHR191200
AT5G20300	CARHR192530
AT1G11530	CARHR011800
AT5G40040	CARHR262060
AT5G39040	CARHR263390
AT5G19110	CARHR193860
AT5G44670	CARHR178220
AT2G17695	CARHR107960
AT5G43880	CARHR179550
AT1G23350	CARHR023800
AT4G01210	CARHR249090
AT2G46940	CARHR142290
AT5G60360	CARHR274030
AT5G22330	CARHR191210
AT3G57380	CARHR167570
AT3G46960	CARHR155590
AT3G45900	CARHR154260
AT5G44640	CARHR178250
AT2G17680	CARHR107930
AT4G02990	CARHR251380
AT5G42520	CARHR181860
AT1G11540	CARHR011820
AT2G27330	CARHR119920
AT3G56120	CARHR166270
AT4G01240	CARHR249060
AT1G09540	CARHR009510
AT5G20320	CARHR192510
AT1G57906	CARHR107940
AT5G44660	CARHR178240
AT2G16370	CARHR106610
AT5G43860	CARHR179570
AT4G01610	CARHR250060
AT4G03000	CARHR251390
AT5G42490	CARHR181870
AT5G60340	CARHR274010
AT5G20310	CARHR192520
AT3G56110	CARHR166260
AT5G52975	CARHR119910
AT5G51810	CARHR264690
AT4G01230	CARHR249070
AT1G09530	CARHR009500
AT1G23390	CARHR023830
AT1G22150	CARHR022500
AT4G04880	CARHR252690
AT4G30490	CARHR238380
AT1G44120	CARHR035810
AT4G01630	CARHR250030
AT5G64080	CARHR277990
AT5G60335	CARHR274000
AT5G61560	CARHR275330
AT5G62865	CARHR276660
AT1G09560	CARHR009530
AT1G10380	CARHR010510
AT1G11560	CARHR011840
